Section,Standard,Indicator,Evidence Required,Responsible Person,Frequency,Assigned to,Compliance Evidence,Score
Human Resource Management (HRM),An appraisal system for evaluating the performance of employees exists as an integral part of the human resource management process.,All of the employees/consultants/students/voluntary workers are made aware of the performance appraisal tools at the time of induction.,,,,,,
Human Resource Management (HRM),An appraisal system for evaluating the performance of employees exists as an integral part of the human resource management process.,The appraisal is used as a tool for further development.,,,,,,
Human Resource Management (HRM),An appraisal system for evaluating the performance of employees exists as an integral part of the human resource management process.,Performance appraisal is carried out at pre-defined intervals and is documented.,,,,,,
Human Resource Management (HRM),Documented personal record for each staff member exists.,Personal files are maintained in respect of all full time/part time employees.,,,,,,
Human Resource Management (HRM),In-service staff capacity building record is documented.,In-service training plan for staff members is available.,,,,,,
Human Resource Management (HRM),In-service staff capacity building record is documented.,All records of in-service training and education are contained in the personal files.,,,,,,
Human Resource Management (HRM),"There is a process for collecting, verifying and evaluating the credentials (education, registration, training and experience) of laboratory professionals, including doctors, technologists and others.",A system for the verification of documents and certificates of employees exists in the laboratory.,,,,,,
Human Resource Management (HRM),"There is a process for collecting, verifying and evaluating the credentials (education, registration, training and experience) of laboratory professionals, including doctors, technologists and others.",Verification of credentials/documents is done in the laboratory for any newly added qualification/training certificate.,,,,,,
Management of Equipment and Reagents (MER),Ensure quality of equipment and reagents through standardized procurement procedures.,The procurement procedure of the laboratory is laid down.,,,,,,
Management of Equipment and Reagents (MER),Ensure quality of equipment and reagents through standardized procurement procedures.,Specifications for all the equipment and reagents/kits/ consumables to be purchased are documented.,,,,,,
Management of Equipment and Reagents (MER),Ensure quality of equipment and reagents through standardized procurement procedures.,Procurement orders are clear dated and signed.,,,,,,
Management of Equipment and Reagents (MER),Ensure quality of equipment and reagents through standardized procurement procedures.,Procured items are regularly entered into stock registers.,,,,,,
Management of Equipment and Reagents (MER),Safe handling and storage of laboratory reagents.,Documented policies and procedures guide the safe storage and use of reagents.,,,,,,
Management of Equipment and Reagents (MER),Safe handling and storage of laboratory reagents.,Inventory of reagents is maintained.,,,,,,
Management of Equipment and Reagents (MER),Safe handling and storage of laboratory reagents.,The policies of reagent management include a procedure of alert for near expiry reagents.,,,,,,
Management of Equipment and Reagents (MER),Safe handling and storage of laboratory reagents.,Labeling of reagents is as per SOPs.,,,,,,
Management of Equipment and Reagents (MER),Comprehensive procedures for equipment management and maintenance exist in the laboratory.,Log books of all equipment are available.,,,,,,
Management of Equipment and Reagents (MER),Comprehensive procedures for equipment management and maintenance exist in the laboratory.,Regular periodic maintenance and calibration record of all the equipment is available in the log books.,,,,,,
Management of Equipment and Reagents (MER),Comprehensive procedures for equipment management and maintenance exist in the laboratory.,Documented and relevant log sheet is displayed on each equipment.,,,,,,
Management of Equipment and Reagents (MER),Comprehensive procedures for equipment management and maintenance exist in the laboratory.,Emergency contact number/s is/are displayed on all equipment.,,,,,,
Management of Equipment and Reagents (MER),Comprehensive procedures for equipment management and maintenance exist in the laboratory.,Equipment inventory is maintained.,,,,,,
Recording and Reporting System (RRS),The laboratory has a complete and accurate laboratory record for every patient.,Electronic record of every patient is maintained.,,,,,,
Recording and Reporting System (RRS),The laboratory has a complete and accurate laboratory record for every patient.,Every laboratory record has a unique identifier.,,,,,,
Recording and Reporting System (RRS),The laboratory has a complete and accurate laboratory record for every patient.,The record provides an up-to-date and chronological account of each patient's record of tests.,,,,,,
Recording and Reporting System (RRS),The laboratory has a complete and accurate laboratory record for every patient.,Only authorized person to make entries in the laboratory record.,,,,,,
Recording and Reporting System (RRS),The laboratory has a complete and accurate laboratory record for every patient.,Every laboratory record entry is dated timed and the person making entries can be identified.,,,,,,
Recording and Reporting System (RRS),A comprehensive reporting system exists in the laboratory.,A computerized reporting system is available.,,,,,,
Recording and Reporting System (RRS),A comprehensive reporting system exists in the laboratory.,Critical results and notifiable diseases are reported.,,,,,,
Recording and Reporting System (RRS),The laboratory record supports continuity of patient care.,Minimum reporting time for every test is documented.,,,,,,
Recording and Reporting System (RRS),The laboratory record supports continuity of patient care.,Reports are accessible to individual patients through a specific code.,,,,,,
Quality Assurance (QA),The laboratory has a comprehensive and documented Quality Assurance (QA) program.,The laboratory has Quality Assurance (QA) SOPs.,,,,,,
Quality Assurance (QA),The laboratory has a comprehensive and documented Quality Assurance (QA) program.,There is a designated focal person responsible for Quality Assurance (QA) activities in the laboratory.,,,,,,
Quality Assurance (QA),The laboratory has a comprehensive and documented Quality Assurance (QA) program.,Quality Assurance (QA) SOPs are communicated and coordinated among the staff.,,,,,,
Quality Assurance (QA),External Quality Assurance (EQA) compliance procedures and tools are available in the laboratory.,External Quality Assurance (EQA) of the laboratory is ensured through external assessment by nationally/internationally recognized bodies.,,,,,,
Quality Assurance (QA),External Quality Assurance (EQA) compliance procedures and tools are available in the laboratory.,Record of External Quality Assurance (EQA) reports are maintained.,,,,,,
Quality Assurance (QA),Internal Quality Assurance (IQA) is ensured through standardized laboratory practices.,Policies and procedures guide the safe collection of specimens.,,,,,,
Quality Assurance (QA),Internal Quality Assurance (IQA) is ensured through standardized laboratory practices.,Policies and procedures guide the identification and proper labeling of specimens.,,,,,,
Quality Assurance (QA),Internal Quality Assurance (IQA) is ensured through standardized laboratory practices.,Policies and procedures guide the safe handling of specimens.,,,,,,
Quality Assurance (QA),Internal Quality Assurance (IQA) is ensured through standardized laboratory practices.,Policies and procedures guide the safe transportation of specimens.,,,,,,
Quality Assurance (QA),Internal Quality Assurance (IQA) is ensured through standardized laboratory practices.,Policies and procedures guide the safe processing of specimens.,,,,,,
Quality Assurance (QA),Internal Quality Assurance (IQA) is ensured through standardized laboratory practices.,Policies and procedures guide the safe disposal of specimens.,,,,,,
Quality Assurance (QA),Internal Quality Assurance (IQA) is ensured through standardized laboratory practices.,Availability of controls for internal quality assurance (IQA) is ensured.,,,,,,
Quality Assurance (QA),Internal Quality Assurance (IQA) is ensured through standardized laboratory practices.,Process cycle records are maintained.,,,,,,
Quality Assurance (QA),Continuous laboratory improvement is documented.,Gaps are identified through QA reports and used as tools for improvement.,,,,,,
Quality Assurance (QA),Continuous laboratory improvement is documented.,Corrective actions are implemented upon identification of gaps.,,,,,,
Quality Assurance (QA),Continuous laboratory improvement is documented.,Measures are taken to minimize recurrence of errors.,,,,,,
Biosafety and Biosecurity (BSBS),The laboratory has a comprehensive and coordinated biosafety program.,Availability of laboratory biosafety SOPs.,,,,,,
Biosafety and Biosecurity (BSBS),The laboratory has a comprehensive and coordinated biosafety program.,Biosafety SOPs are communicated to the laboratory employees.,,,,,,
Biosafety and Biosecurity (BSBS),The laboratory has a comprehensive and coordinated biosafety program.,The laboratory has a designated qualified technician for ensuring biosafety activities.,,,,,,
Biosafety and Biosecurity (BSBS),The laboratory has a comprehensive and coordinated biosafety program.,Regular biosafety monitoring reports are generated in the laboratory.,,,,,,
Biosafety and Biosecurity (BSBS),Continuous staff biosafety measures are ensured and documented.,The laboratory has appropriate consumables equipment and facilities to ensure biosafety.,,,,,,
Biosafety and Biosecurity (BSBS),Continuous staff biosafety measures are ensured and documented.,All staff involved in the handling and disposal of laboratory waste shall receive regular vaccination.,,,,,,
Biosafety and Biosecurity (BSBS),Continuous staff biosafety measures are ensured and documented.,Annual medical check-up of all staff is documented.,,,,,,
Biosafety and Biosecurity (BSBS),Patient biosafety is ensured and documented.,Proper ventilated waiting areas for patients are available.,,,,,,
Biosafety and Biosecurity (BSBS),Patient biosafety is ensured and documented.,Patients are not allowed inside the laboratory working area.,,,,,,
Biosafety and Biosecurity (BSBS),There is a documented procedure of biorisk management.,All incident reports are documented.,,,,,,
Biosafety and Biosecurity (BSBS),There is a documented procedure of biorisk management.,Required disinfectants/spill kits are available in the laboratory.,,,,,,
Biosafety and Biosecurity (BSBS),Measures to ensure biosecurity in the laboratory are practiced.,Only authorized persons are permitted to enter the sample storage area.,,,,,,
Biosafety and Biosecurity (BSBS),Measures to ensure biosecurity in the laboratory are practiced.,Any transportation of samples is properly recorded.,,,,,,
Biosafety and Biosecurity (BSBS),The laboratory has a well-designed, comprehensive and coordinated waste management plan.Written laboratory waste management SOPs are available.,,,,,,
Biosafety and Biosecurity (BSBS),The laboratory has a well-designed, comprehensive and coordinated waste management plan.Waste management SOPs are communicated to the laboratory employees.,,,,,,
Biosafety and Biosecurity (BSBS),The laboratory has a well-designed, comprehensive and coordinated waste management plan.The laboratory has appropriate consumables collection and handling systems and equipment for waste management.,,,,,,
Biosafety and Biosecurity (BSBS),The laboratory has a well-designed, comprehensive and coordinated waste management plan.Contracts with waste disposal service organisations are available.,,,,,,
Biosafety and Biosecurity (BSBS),The laboratory has a well-designed, comprehensive and coordinated waste management plan.Waste transported from collection centers for final disposal is recorded.,,,,,,
Access, Assessment and Continuity of Care (AAC),Laboratory services are easily accessible.The laboratory’s location is easily accessible.,,,,,,
Access, Assessment and Continuity of Care (AAC),Laboratory services are easily accessible.Basic facilities are accessible in the laboratory.,,,,,,
Access, Assessment and Continuity of Care (AAC),Laboratory services are easily accessible.There are clean toilets/washrooms with bolts preferably separate for males and females.,,,,,,
Access, Assessment and Continuity of Care (AAC),Laboratory services are easily accessible.Facilitated toilets for disabled patients are available in the laboratory.,,,,,,
Access, Assessment and Continuity of Care (AAC),Laboratory services are easily accessible.Disabled patients are facilitated for phlebotomy.,,,,,,
Access, Assessment and Continuity of Care (AAC),Laboratory services are easily accessible.Directional arrows pointing towards various important areas for patients are displayed in the laboratory.,,,,,,
Access, Assessment and Continuity of Care (AAC),Laboratory services are provided as portrayed/claimed.Laboratory services being provided are displayed.,,,,,,
Access, Assessment and Continuity of Care (AAC),A comprehensive audit system for laboratory performance assessment exists in the laboratory.There is a system to monitor and measure the performance of the laboratory biannually against the stated mission.,,,,,,
Access, Assessment and Continuity of Care (AAC),A comprehensive audit system for laboratory performance assessment exists in the laboratory.Procured kits and their consumption are compared with tests performed during laboratory performance audit.,,,,,,
Care of Patients (COP),Emergency handling of patients is guided by protocols.,Protocols for providing first aid/emergency care to the patients are documented.,,,,,,
Care of Patients (COP),Emergency handling of patients is guided by protocols.,Relevant contact numbers for emergency evacuation/referral are available in the laboratory.,,,,,,
Care of Patients (COP),Sentinel events are intensively analyzed.,The laboratory has defined sentinel events.,,,,,,
Care of Patients (COP),Sentinel events are intensively analyzed.,Sentinel events are intensively analyzed when they occur.,,,,,,
Care of Patients (COP),The laboratory policies and procedures support domiciliary services to the patients (where applicable/claimed).,The laboratory is equipped with means of communication and transport services for home based patient sample collection.,,,,,,
Care of Patients (COP),The laboratory policies and procedures support domiciliary services to the patients (where applicable/claimed).,The laboratory has appropriate means of collection and transportation of home based samples.,,,,,,
Patient Rights and Education (PRE),A system exists for obtaining consent when it is required.,The laboratory has listed those situations where specific informed consent is required.,,,,,,
Patient Rights and Education (PRE),A system exists for obtaining consent when it is required.,The policy describes who can give consent when a patient is incapable of independent decision-making.,,,,,,
Patient Rights and Education (PRE),Patients and families have a right to information on expected costs.,The tariff list is available to patients.,,,,,,
Patient Rights and Education (PRE),Patients and families have a right to information on expected costs.,Patients/families are informed about the additional reports which are generated/included in the report with the same sample and cost.,,,,,,
Patient Rights and Education (PRE),Patient rights for appeals, complaints and confidentiality.Patient's complaints are accepted by the laboratory and properly registered.,,,,,,
Patient Rights and Education (PRE),Patient rights for appeals, complaints and confidentiality.Proper actions and remedial measures are taken in response to patients’ complaints.,,,,,,
Patient Rights and Education (PRE),Patient rights for appeals, complaints and confidentiality.Confidentiality of patient record is maintained.,,,,,,
